# Halo 4 c_enum members not yet named from IDA / MegaloEdit.
# Format: TypeName | storage | count | ordinal | notes

e_network_game_type | char | 4 (0..3) | 0,1,3 | activity field; 2 bits; matchmaking=2
e_game_mode | char | 7 (0..6) | 4..6 | metadata game-mode; 3 bits
e_trait_set_type | unsigned char | 2 (0..1) | * | TraitSetTypes::Value on s_player_trait_option; 1 bit
e_megalo_widget_position | unsigned char | 13 (0..12) | 12 | unnamed; bits=4
e_game_engine_team_options_model_override_type | unsigned char | 6 (0..5) | 0..5 | unknown_0..unknown_5; bits=3
e_CustomGameMapSize | unsigned char | 3 (0..2) | * | MapLoadoutInfo size; 2 bits
e_explicit_player_type | char | 39 (0..38) | 29..38 | 6 bits (was Reach 5)
e_explicit_object_type | char | 32 (0..31) | 21..31 | 5 bits
e_explicit_team_type | char | 29 (-1..27) | 20..27 | 5 bits; none=-1
e_custom_variable_type | unsigned char | 73 (0..72) | many | 7 bits; H4 payload groups differ from Reach

e_requisition_sub_menu | unsigned char | 1 (0..0) | — | 0 bits (IDA required_encoding_bits=0)
e_player_trait_vitality_powerup_cancellation | unsigned char | 3 (0..2) | 1,2 | unknown_1, unknown_2; bits=2
e_grenade_count_setting | unsigned char | 19 (0..18) | 15..18 | unknown_15..unknown_18; bits=5
e_player_color_index | char | 33 (-1..31) | * | color_0..color_31 placeholders; bits=6
e_emblem_info_flags | unsigned char | 3 bits | * | raw flags int, not named
e_game_engine_team_options_team_flags | unsigned char | 6 bits | 5 | unknown_5
MegaloGameObjectTypeEnum | unsigned char | 2 (0..1) | * | game-object filter type; 1 bit
e_trigger_execution_mode | unsigned char | 7 (0..6) | — | IDA c_enum 0,7; game_object=6
e_trigger_type | unsigned char | 9 (0..8) | — | IDA c_enum 0,9; no incident on wire
e_scriptable_game_buttons | unsigned char | 17 (0..16) | 14..16 | get_button_time; 5 bits
e_game_variant_parameter | int | 807 | many | Reach list truncated/padded to 807 flags; H4 names incomplete
e_game_engine_category | char | 31 (-1..30) | dominion/extraction/regicide | H4 category_* strings exist; ordinals vs Reach list unconfirmed
e_game_engine_type | char | 6 (0..5) | 5 | firefight added; encode/decode not mapped yet
e_action_type | unsigned char | 211 (0..210) | many new | param layouts for H4-only actions mostly unmapped
e_biped_drop_weapon_mode | unsigned char | 3 (0..2) | * | drop-mode; 2 bits
# Named via RVT + IDA: powerup red/blue/yellow/custom; math <<= / >>= / abs at 10..12
